State ,Inclusive procurement organization definition ,Requirement to cooperate,Requirement to enter agreement,Required to be present in order to deny,Requirement to examine tissues quickly enough to maintain preservation,Choice of law provision ,Good faith immunity clause
Alabama,X,X,[blank],[blank],X,X,X
Alaska,X,X,[blank],[blank],X,X,X
Arizona,X,X,[blank],[blank],[blank],X,X
Arkansas,X,X,X,[blank],X,X,X
California,X,X,[blank],X,X,X,X
Colorado,X,X,X,[blank],X,X,X
Connecticut,X,X,[blank],[blank],[blank],X,X
Delaware,X,X,[blank],[blank],X,X,X
Florida,X,X,[blank],[blank],[blank],X,X
Georgia,X,X,X,X,X,X,X
Hawaii,X,X,[blank],X,X,X,X
Idaho,X,X,[blank],[blank],[blank],X,X
Illinois,X*,[blank],[blank],[blank],[blank],X,X
Indiana,X,X,[blank],[blank],X,X,X
Iowa,X,X,[blank],[blank],X,X,X
Kansas,X,X,[blank],X,X,X,X
Kentucky,X,X,X,[blank],X,X,X
Louisiana,X,X**,[blank],[blank],X**,X,X
Maine,X,X,[blank],[blank],X,X,X
Maryland,X,X,[blank],[blank],X,X,X
Massachusetts,X,X,[blank],[blank],X,X,X
Michigan,X,X**,X**,[blank],X**,X,X
Minnesota,X,X,[blank],X,X,X,X
Mississippi,X,X,[blank],[blank],[blank],X,X
Missouri,X,X**,[blank],[blank],X,X,X
Montana,X,X,[blank],[blank],X,X,X
Nebraska,X,X,[blank],X,X,X,X
Nevada,X,X,X,[blank],X,X,X
New Hampshire,X,X,[blank],X,X,X,X
New Jersey,X,X,[blank],[blank],X,X,X
New Mexico,X,X,[blank],X,X,X,X
New York,X*,X**,[blank],[blank],X**,X,X
North Carolina,X,X,[blank],[blank],X,X,X
North Dakota,X,X,[blank],X,X,X,X
Ohio,X,X,X,X,X,X,X
Oklahoma,X,X,X,[blank],X,X,X
Oregon,X,X,[blank],[blank],X,X,X
Pennsylvania,X,X,[blank],[blank],[blank],X,X
Rhode Island,X,X,[blank],[blank],X,X,X
South Carolina,X,X,[blank],[blank],X,X,X
South Dakota,X,X,[blank],X,X,X,X
Tennessee,X,X,[blank],[blank],X**,X,X
Texas,X,X,[blank],X**,X**,X,X
Utah,X,X,[blank],X,X,X,X
Vermont,X,X,[blank],[blank],[blank],X,X
Virginia,X*,X,X,[blank],X,X,X
Washington,X,X,[blank],[blank],[blank],X,X
West Virginia,X,X,[blank],[blank],X,X,X
Wisconsin,X,X,X,[blank],X,X,X
Wyoming,X,X,X,[blank],X,X,X
Uniform Act (2006),X,X,[blank],X,X,X,X
